LeftAIFileName	RightAIFileName	Count	HoldMinDiff	ThinkDelayFrame TSpinMinDiff MoveDelayFrame		
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS7.LUA	30	500	0	1200	0
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS7.LUA	30	500	0	1100	0
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS7.LUA	30	500	0	1050	0
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS7.LUA	30	500	0	1000	0
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS7.LUA	30	500	0	950	0
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS7.LUA	30	500	0	900	0
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS7.LUA	30	500	0	850	0
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS7.LUA	30	500	0	800	0
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS7.LUA	30	500	0	750	0
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS7.LUA	30	500	0	700	0
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS7.LUA	30	500	0	600	0
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS7.LUA	30	500	0	500	0
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS7.LUA	30	500	0	400	0
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS7.LUA	30	500	0	300	0
